H1,,Start here
G1,,Empty room
H2,,Empty room
I1,,Empty room
F1,any,
E2,any,
F2,any,
G2,any,
I2,any,
J2,any,
K2,any,
J1,any,
D3,any,
E3,any,Boss
F3,any,
G3,any,
I3,any,
J3,any,
K3,any,Boss
L3,any,
C4,any,
D4,any,
E4,any,
F4,any,Boss
G4,any,
I4,any,
J4,any,Boss
K4,any,
L4,any,
M4,any,
N5,any,
M5,any,Boss
L5,any,
K5,any,
J5,any,
F5,any,
E5,any,
D5,any,
C5,any,Boss
B5,any,
A6,any,
B6,any,
C6,any,
D6,any,Boss
E6,any,
K6,any,
L6,any,Boss
M6,any,
N6,any,
O6,any,
A7,any,Boss
B7,any,
C7,any,
D7,any,
A8,any,Boss
B8,any,Boss
C8,any,
L7,any,
M7,any,
N7,any,
O7,any,Boss
M8,any,
N8,any,Boss
O8,any,Boss
