G11,any,
G12,any,
F12,any,
E11,any,
E12,any,Boss
D12,any,
C11,any,
C12,any,Boss
G10,any,
F10,any,
E9,any,
E10,any,
D10,any,
C10,any,Boss
C9,any,
C8,any,
D8,any,
E8,any,
E7,any,
F8,any,
G9,any,
H10,any,
H8,any,
G7,any,
F7,any,Boss
F6,any,
H9,any,Boss
I9,any,
I7,any,
I8,any,
J8,any,
K8,any,
K7,any,
J6,any,
I5,any,
I6,any,
H6,any,
G6,any,
G5,any,
G4,any,
H4,any,
K6,any,Boss
L6,any,
I4,any,Boss
J4,any,
K5,any,
L4,any,
K4,any,
K3,any,
I3,any,
I2,any,
J2,any,
M6,any,
M5,any,
K2,any,
K1,any,
L2,any,
M3,any,
M4,any,
N4,any,
L1,,Empty room
M2,,Empty room
N3,,Empty room
M1,,Empty room
N2,,Empty room
N1,,Start here
