H1,,<-- Start here
G1,,
H2,,
I1,,
F1,Cosmic,
E2,Cosmic,
F2,Global or Cosmic,
G2,Global,
I2,Global,
J2,Global or Cosmic,
K2,Cosmic,
J1,Cosmic,
D3,Cosmic,
E3,Global or Cosmic,
F3,Global,
G3,Global or City,
H3,City,
I3,Global or City,
J3,Global,
K3,Cosmic or Global,
L3,Cosmic,
C4,Cosmic,
D4,Cosmic or Global,
E4,Global,
F4,Global or City,
G4,City,
I4,City,
J4,City or Global,
K4,Global,
L4,Global or Cosmic,
M4,Cosmic,
N5,Cosmic,
M5,Cosmic or Global,
L5,Global,
K5,Global or City,
J5,City,
F5,City,
E5,Global or City,
D5,Global,
C5,Global or Cosmic,
B5,Cosmic,
A6,Cosmic,
B6,Cosmic or Global,
C6,Global,
D6,City or Global,
E6,City,
K6,City,
L6,City or Global,
M6,Global,
N6,Global or Cosmic,
O6,Cosmic,
A7,Cosmic,
B7,Global,
C7,Global or City,
D7,City,
A8,Cosmic,
B8,Global,
C8,City,
A9,Cosmic,
B9,Global,
C9,City,
A10,Cosmic,
B10,Global,
C10,City,
A11,Global or Cosmic,
B11,Global,
C11,City,
A12,any,
B12,Global or City,
C12,City,
L7,City,
M7,Global or City,
N7,Global,
O7,Cosmic,
M8,City,
N8,Global,
O8,Cosmic,
M9,City,
N9,Global,
O9,Cosmic,
M10,City,
N10,Global,
O10,Cosmic,
M11,City,
N11,Global,
O11,Cosmic or Global,
M12,City,
N12,Global or City,
O12,any,
