H1,,<-- Start here
G1,,
H2,,
I1,,
F1,any,
E2,any,
F2,any,
G2,any,
I2,any,
J2,any,
K2,any,
J1,any,
D3,any,
E3,Global or Cosmic,
F3,any,
G3,any,
H3,any,
I3,any,
J3,any,
K3,Cosmic or Global,
L3,any,
C4,any,
D4,any,
E4,any,
F4,Global or City,
G4,any,
I4,any,
J4,City or Global,
K4,any,
L4,any,
M4,any,
N5,any,
M5,Cosmic or Global,
L5,any,
K5,any,
J5,any,
F5,any,
E5,any,
D5,any,
C5,Global or Cosmic,
B5,any,
A6,any,
B6,any,
C6,any,
D6,City or Global,
E6,any,
K6,any,
L6,City or Global,
M6,any,
N6,any,
O6,any,
A7,Cosmic,
B7,any,
C7,any,
D7,any,
A8,any,
B8,Global,
C8,any,
A9,any,
B9,any,
C9,City,
A10,any,
B10,any,
C10,any,
A11,Global or Cosmic,
B11,any,
C11,any,
A12,any,
B12,Global or City,
C12,any,
L7,any,
M7,any,
N7,any,
O7,Cosmic,
M8,any,
N8,Global,
O8,any,
M9,City,
N9,any,
O9,any,
M10,any,
N10,any,
O10,any,
M11,any,
N11,any,
O11,Cosmic or Global,
M12,any,
N12,Global or City,
O12,any,
