H1,any,
G1,any,
D1,any,
C1,any,
F1,,<-- Start here
E1,,
B2,Global,
C2,any,
D2,any,
E2,any,
F2,any,
G2,any,
H2,any,
I2,Global and Hero,
A3,any,
B3,any,
C3,GotG or Ravager,
D3,any,
G3,any,
H3,Hero and City,
I3,any,
J3,any,
A4,any,
B4,any,
C4,any,
D4,any,
E4,any,
F4,any,
G4,any,
H4,any,
I4,any,
J4,any,
A5,any,
B5,Global and Hero,
C5,any,
D5,Villain,
G5,City and Villain,
H5,any,
I5,Global and Hero,
J5,any,
B6,any,
C6,any,
D6,any,
G6,any,
H6,any,
I6,any,
C7,any,
D7,any,
E7,Global,
F7,Global,
G7,any,
H7,any,
