E1,,Start here
E2,,Empty room
D2,,Empty room
F2,,Empty room
C3,any,Boss
D3,any,
E3,any,
F3,any,
G3,any,Boss
B4,Villain,
C4,Hero,
D4,any,Boss
E4,any,
F4,any,Boss
G4,Villain,
H4,Hero,
B5,Villain,
C5,Hero,
D5,Villain,
E5,any,Boss
F5,Hero,
G5,Villain,
H5,Hero,
B6,Villain,
C6,Hero,
D6,Villain,
E6,any,
F6,Hero,
G6,Villain,
H6,Hero,
B7,any,
C7,any,
D7,any,
E7,any,Boss
F7,any,
G7,any,
H7,any,
B8,Hero,
C8,Villain,
D8,any,Boss
E8,any,
F8,any,
G8,Hero,
H8,Villain,
B9,Villain,
C9,Hero,
D9,any,
E9,any,
F9,any,Boss
G9,Villain,
H9,Hero,
A10,Villain,
B10,Hero,
C10,Villain,
D10,any,Boss
E10,any,
F10,any,
G10,Hero,
H10,Villain,
I10,Hero,
A11,Hero,
B11,Villain,
C11,any,Boss
D11,any,Boss
E11,any,Boss
F11,any,Boss
G11,any,Boss
H11,Hero,
I11,Villain,
