E1,,Start here
E2,,Empty room
D1,,Empty room
F1,,Empty room
C1,any,
B1,any,
G1,any,
H1,any,
I1,any,
A1,any,
D2,any,
C2,any,
B2,any,
A2,any,Boss
I2,any,Boss
H2,any,
G2,any,
F2,any,
A3,any,
B3,any,Boss
C3,any,
D3,any,
E3,any,
F3,any,
G3,any,
H3,any,Boss
I3,any,
A4,any,
B4,any,
C4,any,
D4,any,
F4,any,
G4,any,
H4,any,
I4,any,
A5,any,
B5,any,Boss
C5,any,
D5,any,Boss
E5,any,
F5,any,Boss
G5,any,
H5,any,Boss
I5,any,
B6,any,
C6,any,
D6,any,
E6,any,
F6,any,
G6,any,
H6,any,
C7,any,
D7,any,Boss
E7,any,Boss
F7,any,Boss
G7,any,
