id,translation,
ID_ABILITY_AIMCONTROL_INFECT_BASIC_1_DESC,Attack primary target for <color=#86e619>{thislevel.basic.action.0.stat_modifier.0.delta}%</color> damage. Pass any negative effects on this character to target.,
ID_ABILITY_AIMCONTROL_INFECT_BASIC_2_DESC,"Attack primary target for <color=#86e619>{thislevel.basic.action.0.stat_modifier.0.delta}%</color> damage. Pass any negative effects on this character to target. <color=#86e619>{thislevel.basic.action.2.action_pct}%</color> chance to apply <color=#fff568>Offense Down</color>, <color=#fff568>Defense Down</color>, or <color=#fff568>Slow</color> to target.",
ID_ABILITY_AIMCONTROL_INFECT_BASIC_1_UPGRADE,"<color=#86e619>{nextlevel.basic.action.2.action_pct - thislevel.basic.action.2.action_pct}%</color> chance to apply <color=#fff568>Offense Down</color>, <color=#fff568>Defense Down</color>, or <color=#fff568>Slow</color> to target",
ID_ABILITY_AIMCONTROL_INFECT_BASIC_2_UPGRADE,+<color=#86e619>{nextlevel.basic.action.0.stat_modifier.0.delta - thislevel.basic.action.0.stat_modifier.0.delta}%</color> damage to primary target,
ID_ABILITY_AIMCONTROL_INFECT_BASIC_3_UPGRADE,+<color=#86e619>{nextlevel.basic.action.2.action_pct - thislevel.basic.action.2.action_pct}%</color> chance to apply a negative effect,
ID_ABILITY_AIMCONTROL_INFECT_BASIC_4_UPGRADE,+<color=#86e619>{nextlevel.basic.action.0.stat_modifier.0.delta - thislevel.basic.action.0.stat_modifier.0.delta}%</color> damage to primary target,
ID_ABILITY_AIMCONTROL_INFECT_BASIC_5_UPGRADE,+<color=#86e619>{nextlevel.basic.action.2.action_pct - thislevel.basic.action.2.action_pct}%</color> chance to apply a negative effect,
ID_ABILITY_AIMCONTROL_INFECT_BASIC_6_UPGRADE,+<color=#86e619>{nextlevel.basic.action.0.stat_modifier.0.delta - thislevel.basic.action.0.stat_modifier.0.delta}%</color> damage to primary target,
ID_ABILITY_AIMCONTROL_INFECT_SPECIAL_1_DESC,Gain <color=#86e619>{thislevel.special.action.0.apply_count}</color> random negative effect for <color=#86e619>{thislevel.special.action.0.procs.0.use_count}</color> turns. Heal self for <color=#86e619>{thislevel.special.action.1.heal_amt}</color> Health + <color=#86e619>{thislevel.special.action.1.heal_pct}%</color> of Max Health.,
ID_ABILITY_AIMCONTROL_INFECT_SPECIAL_3_DESC,Gain <color=#86e619>{thislevel.special.action.0.apply_count}</color> random negative effects for <color=#86e619>{thislevel.special.action.0.procs.0.use_count}</color> turns. Heal self for <color=#86e619>{thislevel.special.action.1.heal_amt}</color> Health + <color=#86e619>{thislevel.special.action.1.heal_pct}%</color> of Max Health.,
ID_ABILITY_AIMCONTROL_INFECT_SPECIAL_5_DESC,Gain <color=#86e619>{thislevel.special.action.0.apply_count.f}</color>-<color=#86e619>{thislevel.special.action.0.apply_count.t}</color> random negative effects for <color=#86e619>{thislevel.special.action.0.procs.0.use_count}</color> turns. Heal self for <color=#86e619>{thislevel.special.action.1.heal_amt}</color> Health + <color=#86e619>{thislevel.special.action.1.heal_pct}%</color> of Max Health.,
ID_ABILITY_AIMCONTROL_INFECT_SPECIAL_7_DESC,Gain <color=#86e619>{thislevel.special.action.0.apply_count}</color> random negative effects for <color=#86e619>{thislevel.special.action.0.procs.0.use_count}</color> turns. Heal self for <color=#86e619>{thislevel.special.action.1.heal_amt}</color> Health + <color=#86e619>{thislevel.special.action.1.heal_pct}%</color> of Max Health.,
ID_ABILITY_AIMCONTROL_INFECT_SPECIAL_1_UPGRADE,Heal for <color=#86e619>{nextlevel.special.action.1.heal_amt}</color> Health,
ID_ABILITY_AIMCONTROL_INFECT_SPECIAL_2_UPGRADE,Gain <color=#86e619>{nextlevel.special.action.0.apply_count}</color> random negative effects\nHeal for <color=#86e619>{nextlevel.special.action.1.heal_amt}</color> Health,
ID_ABILITY_AIMCONTROL_INFECT_SPECIAL_3_UPGRADE,This ability costs <color=#86e619>{nextlevel.special.cost}</color> ability energy instead of <color=#86e619>{thislevel.special.cost}</color>,
